LAMMPS data file using Dreiding for PAN_helix_2_3_1_iso+

282  atoms
281  bonds
520  angles
831  dihedrals
320  impropers

4  atom types
4  bond types
2  angle types
10  dihedral types
1  improper types

0.0000000000000000e+00 3.0000000000000000e+01 xlo xhi
0.0000000000000000e+00 3.0000000000000000e+01 ylo yhi
0.0000000000000000e+00 1.0000000000000000e+02 zlo zhi


Masses

  1      1.007900     # H_
  2     12.011000     # C_3
  3     12.011000     # C_1
  4     14.006700     # N_1

Atoms

     1   1   1    0.02492      2.70500000      2.63900000      0.07700000   0   0   0
     2   1   2   -0.05073      3.26500000      3.50100000      0.44000000   0   0   0
     3   1   2    0.04297      3.26600000      3.50000000      1.97400000   0   0   0
     4   1   2   -0.02319      3.92100000      2.21000000      2.48500000   0   0   0
     5   1   1    0.02492      4.30100000      3.44700000      0.07300000   0   0   0
     6   1   1    0.02492      2.85100000      4.41900000      0.00000000   0   0   0
     7   1   3    0.06498      4.02200000      4.66100000      2.46500000   0   0   0
     8   1   1    0.04765      2.24000000      3.64600000      2.34100000   0   0   0
     9   1   4   -0.19809      4.61800000      5.57800000      2.85200000   0   0   0
    10   1   2    0.04709      3.92100000      2.21000000      4.02100000   0   0   0
    11   1   2   -0.02287      2.47600000      2.28800000      4.53200000   0   0   0
    12   1   1    0.03024      3.35700000      1.34000000      2.11900000   0   0   0
    13   1   1    0.03024      4.92500000      2.10900000      2.04700000   0   0   0
    14   1   3    0.06533      4.54800000      0.97500000      4.51100000   0   0   0
    15   1   1    0.04802      4.56100000      3.02700000      4.38800000   0   0   0
    16   1   4   -0.19808      5.04500000      0.00100000      4.89800000   0   0   0
    17   1   2    0.04710      2.47600000      2.28800000      6.06600000   0   0   0
    18   1   2   -0.02287      3.26600000      3.50000000      6.57900000   0   0   0
    19   1   1    0.03025      2.00500000      3.21200000      4.16500000   0   0   0
    20   1   1    0.03025      1.88700000      1.46800000      4.09200000   0   0   0
    21   1   3    0.06533      1.09300000      2.36200000      6.55800000   0   0   0
    22   1   1    0.04802      2.86200000      1.32600000      6.43300000   0   0   0
