BONDS

1  1  1  2
2  1  2  6
3  1  2  5
4  1  3  8
5  2  3  7
6  1  4  12
7  1  4  13
8  3  7  9
9  1  10  15
10  2  10  14
11  1  11  19
12  1  11  20
13  3  14  16
14  1  17  22
15  2  17  21
16  1  18  26
17  1  18  27
18  3  21  23
19  1  24  29
20  2  24  28
21  1  25  33
22  1  25  34
23  3  28  30
24  1  31  36
25  2  31  35
26  1  32  41
27  1  32  40
28  3  35  37
29  1  38  43
30  2  38  42
31  1  39  47
32  1  39  48
33  3  42  44
34  1  45  50
35  2  45  49
36  1  46  54
37  1  46  55
38  3  49  51
39  1  52  57
40  2  52  56
41  1  53  62
42  1  53  61
43  3  56  58
44  1  59  64
45  2  59  63
46  1  60  69
47  1  60  68
48  3  63  65
49  1  66  71
50  2  66  70
51  1  67  75
52  1  67  76
53  3  70  72
54  1  73  78
55  2  73  77
56  1  74  82
57  1  74  83
58  3  77  79
59  1  80  85
60  2  80  84
61  1  81  89
62  1  81  90
63  3  84  86
64  1  87  92
65  2  87  91
66  1  88  96
67  1  88  97
68  3  91  93
69  1  94  99
70  2  94  98
71  1  95  103
72  1  95  104
73  3  98  100
74  1  101  106
75  2  101  105
76  1  102  110
77  1  102  111
78  3  105  107
79  1  108  113
80  2  108  112
81  1  109  117
82  1  109  118
83  3  112  114
84  1  115  120
85  2  115  119
86  1  116  124
87  1  116  125
88  3  119  121
89  1  122  127
90  2  122  126
91  1  123  132
92  1  123  131
93  3  126  128
94  1  129  134
95  2  129  133
96  1  130  138
97  1  130  139
98  3  133  135
99  1  136  141
100  2  136  140
101  1  137  146
102  1  137  145
103  3  140  142
104  1  143  148
105  2  143  147
106  1  144  152
107  1  144  153
108  3  147  149
109  1  150  155
110  2  150  154
111  1  151  159
112  1  151  160
113  3  154  156
114  1  157  162
115  2  157  161
116  1  158  167
117  1  158  166
118  3  161  163
119  1  164  169
120  2  164  168
121  1  165  173
122  1  165  174
123  3  168  170
124  1  171  176
125  2  171  175
126  1  172  181
127  1  172  180
128  3  175  177
129  1  178  183
130  2  178  182
131  1  179  188
132  1  179  187
133  3  182  184
134  1  185  190
135  2  185  189
136  1  186  194
137  1  186  195
138  3  189  191
139  1  192  197
140  2  192  196
141  1  193  202
142  1  193  201
143  3  196  198
144  1  199  204
145  2  199  203
146  1  200  208
147  1  200  209
148  3  203  205
149  1  206  211
150  2  206  210
151  1  207  215
152  1  207  216
153  3  210  212
154  1  213  218
155  2  213  217
156  1  214  223
157  1  214  222
158  3  217  219
159  1  220  225
160  2  220  224
161  1  221  229
162  1  221  230
163  3  224  226
164  1  227  232
165  2  227  231
166  1  228  237
167  1  228  236
168  3  231  233
169  1  234  239
170  2  234  238
171  1  235  243
172  1  235  244
173  3  238  240
174  1  241  246
175  2  241  245
176  1  242  250
177  1  242  251
178  3  245  247
179  1  248  253
180  2  248  252
181  1  249  257
182  1  249  258
183  3  252  254
184  1  255  260
185  2  255  259
186  1  256  264
187  1  256  265
188  3  259  261
189  1  262  267
190  2  262  266
191  1  263  271
192  1  263  272
193  3  266  268
194  1  269  274
195  2  269  273
196  1  270  279
197  1  270  278
198  3  273  275
199  1  276  281
200  1  276  277
201  3  280  282
202  4  2  3
203  4  3  4
204  4  4  10
205  4  10  11
206  4  11  17
207  4  17  18
208  4  18  24
209  4  24  25
210  4  25  31
211  4  31  32
212  4  32  38
213  4  38  39
214  4  39  45
215  4  45  46
216  4  46  52
217  4  52  53
218  4  53  59
219  4  59  60
220  4  60  66
221  4  66  67
222  4  67  73
223  4  73  74
224  4  74  80
225  4  80  81
226  4  81  87
227  4  87  88
228  4  88  94
229  4  94  95
230  4  95  101
231  4  101  102
232  4  102  108
233  4  108  109
234  4  109  115
235  4  115  116
236  4  116  122
237  4  122  123
238  4  123  129
239  4  129  130
240  4  130  136
241  4  136  137
242  4  137  143
243  4  143  144
244  4  144  150
245  4  150  151
246  4  151  157
247  4  157  158
248  4  158  164
249  4  164  165
250  4  165  171
251  4  171  172
252  4  172  178
253  4  178  179
254  4  179  185
255  4  185  186
256  4  186  192
257  4  192  193
258  4  193  199
259  4  199  200
260  4  200  206
261  4  206  207
262  4  207  213
263  4  213  214
264  4  214  220
265  4  220  221
266  4  221  227
267  4  227  228
268  4  228  234
269  4  234  235
270  4  235  241
271  4  241  242
272  4  242  248
273  4  248  249
274  4  249  255
275  4  255  256
276  4  256  262
277  4  262  263
278  4  263  269
279  4  269  270
280  4  270  276
281  2  276  280
